r (m)	Te (eV)	Ti (eV)	ne (m^-3)	ni (m^-3)	nCI (m^-3)	nCII (m^-3)	nCIII (m^-3)	nCIV (m^-3)	nCV (m^-3)	nCVI (m^-3)	nCVII (m^-3)	n0 (m^-3)	pi (kPa)	p (kPa)
0.146	636.51	242.73	1.931390000E+19	1.553710132E+19	8.323445000E-03	1.845843177E+11	1.714836449E+12	3.811180404E+13	4.216294570E+15	3.445333924E+16	1.538343109E+17	1.770460000E+15	604.2313146301	3.816670000E+00
0.147	636.19	242.64	1.930500000E+19	1.553136147E+19	8.396156000E-03	1.850298665E+11	1.717360672E+12	3.824674783E+13	4.222500070E+15	3.445757057E+16	1.537392272E+17	1.776150000E+15	603.7899019467	3.808880000E+00
0.148	635.87	242.55	1.929600000E+19	1.552558557E+19	8.469126000E-03	1.854770356E+11	1.719894784E+12	3.838249244E+13	4.228820435E+15	3.446191163E+16	1.536434423E+17	1.781890000E+15	603.3454616959	3.801050000E+00
0.149	635.55	242.46	1.928700000E+19	1.551977364E+19	8.542357000E-03	1.859258328E+11	1.722438838E+12	3.851904364E+13	4.235257431E+15	3.446636549E+16	1.535469520E+17	1.787680000E+15	602.8979990147	3.793190000E+00
0.150	635.23	242.37	1.927790000E+19	1.551392570E+19	8.615849000E-03	1.863762660E+11	1.724992886E+12	3.865640724E+13	4.241812845E+15	3.447093524E+16	1.534497520E+17	1.793510000E+15	602.4475190683	3.785290000E+00
0.151	634.90	242.28	1.926880000E+19	1.550804179E+19	8.689604000E-03	1.868283432E+11	1.727556982E+12	3.879458913E+13	4.248488483E+15	3.447562394E+16	1.533518385E+17	1.799400000E+15	601.9940278267	3.777360000E+00
0.152	634.57	242.19	1.925960000E+19	1.550212191E+19	8.763624000E-03	1.872820724E+11	1.730131178E+12	3.893359521E+13	4.255286171E+15	3.448043464E+16	1.532532071E+17	1.805340000E+15	601.5375297347	3.769390000E+00
0.153	634.24	242.10	1.925040000E+19	1.549616610E+19	8.837909000E-03	1.877374619E+11	1.732715528E+12	3.907343144E+13	4.262207757E+15	3.448537036E+16	1.531538538E+17	1.811330000E+15	601.0780308182	3.761390000E+00
0.154	633.91	242.01	1.924110000E+19	1.549017438E+19	8.912460000E-03	1.881945195E+11	1.735310085E+12	3.921410386E+13	4.269255106E+15	3.449043412E+16	1.530537744E+17	1.817370000E+15	600.6155363545	3.753360000E+00
0.155	633.57	241.91	1.923170000E+19	1.548414677E+19	8.987280000E-03	1.886532537E+11	1.737914905E+12	3.935561852E+13	4.276430106E+15	3.449562892E+16	1.529529648E+17	1.823460000E+15	600.1500516490	3.745290000E+00
0.156	633.24	241.82	1.922230000E+19	1.547808329E+19	9.062369000E-03	1.891136725E+11	1.740530041E+12	3.949798154E+13	4.283734665E+15	3.450095773E+16	1.528514208E+17	1.829610000E+15	599.6815820351	3.737190000E+00
0.157	632.90	241.73	1.921290000E+19	1.547198397E+19	9.137728000E-03	1.895757844E+11	1.743155548E+12	3.964119911E+13	4.291170709E+15	3.450642351E+16	1.527491383E+17	1.835800000E+15	599.2101332616	3.729060000E+00
0.158	632.56	241.63	1.920340000E+19	1.546584882E+19	9.213360000E-03	1.900395975E+11	1.745791483E+12	3.978527743E+13	4.298740188E+15	3.451202917E+16	1.526461131E+17	1.842050000E+15	598.7357103302	3.720900000E+00
